EventId,EventTemplate,Occurrences
0,"<*> ""GET <*>HTTP<*>status <*> len <*> time <*>.<*>",931
1,[instance <*>] VM Started (Lifecycle Event),22
2,[instance <*>] VM Paused (Lifecycle Event),22
3,[instance <*>] During sync_power_state the instance has a pending task (spawning). Skip.,43
4,image <*> at (<*>checking,82
5,image <*> at (<*>in use on this node <*> local <*> on other nodes sharing this instance storage,82
6,Active base files /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,82
7,Creating event network-vif-plugged <*> for instance <*>,22
8,"<*> ""POST <*>HTTP<*>status <*> len <*> time <*>.<*>",64
9,[instance <*>] VM Resumed (Lifecycle Event),44
10,[instance <*>] Instance spawned successfully.,22
11,[instance <*>] Took <*>.<*> seconds to <*> the instance on the hypervisor.,43
12,[instance <*>] Took <*>.<*> seconds to build instance.,22
13,Auditing locally available compute resources for node cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us,15
14,Total usable vcpus <*> total allocated vcpus <*>,15
15,Final resource view name cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us phys_ram <*>MB used_ram <*>MB phys_disk <*>GB used_disk <*>GB total_vcpus <*> used_vcpus <*> pci_stats [],15
16,Compute_service record updated for cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us,15
17,"<*> ""DELETE <*>HTTP<*>status <*> len <*> time <*>.<*>",22
18,[instance <*>] Terminating instance,22
19,[instance <*>] Instance destroyed successfully.,22
20,[instance <*>] Deleting instance files /var/lib/nova/instances/<*>_del,21
21,[instance <*>] Deletion of <*>complete,21
22,[instance <*>] Took <*>.<*> seconds to deallocate network for instance.,21
23,Unknown base file /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,30
24,Removable base files /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,30
25,Removing base or swap file /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,21
26,HTTP exception thrown No instances found for any event,21
27,[instance <*>] Attempting claim memory <*> MB disk <*> GB vcpus <*> CPU,21
28,[instance <*>] Total memory <*> MB used <*>.<*> MB,21
29,[instance <*>] memory limit <*>.<*> MB free <*>.<*> MB,21
30,[instance <*>] Total disk <*> GB used <*>.<*> GB,21
31,[instance <*>] disk limit not specified defaulting to unlimited,21
32,[instance <*>] Total vcpu <*> VCPU used <*>.<*> VCPU,21
33,[instance <*>] vcpu limit not specified defaulting to unlimited,21
34,[instance <*>] Claim successful,21
35,[instance <*>] Creating image,21
36,[instance <*>] VM Stopped (Lifecycle Event),21
37,Successfully synced instances from host 'cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us'.,2
38,Running instance usage audit for host cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us from <*>-<*>-<*> <*> <*> <*> to <*>-<*>-<*> <*> <*> <*>. <*> instances.,1
39,Base or swap file too young to remove /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,9
40,The instance sync for host 'cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us' did not match. Re-created its InstanceList.,5
41,While synchronizing instance power states found <*> instances in the database and <*> instances on the hypervisor.,1
